,040,026,052IS,005G,043G,047,085G,072,038,044-1,044-2,044-3,001,111,046,063,114G,032,021,116,109,109GS,107,061,028,028G,058,058GS,039,042,022,089,064G,082B,073,115,115GS,004,006,093,093IS,045,048,099,081,081G,119IS,068,112,024,012,011GS,062,088,015,033,120,041,118,079,074GS,078,054,030,027,097,095,056,036,060,014,080,050,077,076,013,092,100,049,049G,003,053,110,065,101,066,031,084,ACC1,029,029A,010,009,069,069G,087,086,051,055,055G,055IS,098,094G,091GS,090,070,019,067,034,096,057,037,025IS,102,035
2016-07-31,0,1,1,0,0,0,1,1,0,0,0,0,2,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,3,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,3,1,0,1,2,1,2,0,1,0,0,0,0,0,2,1,1,0,1,0,1,0,1,0,0,1,0,1,2,1,2,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,2,0,1,1,0,1,1,1,1
2016-08-01,0,0,1,0,0,1,0,0,0,1,0,0,2,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,3,2,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,4,0,0,0,1,1,3,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,2,0,0,1,0,1,2,0,2,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,1,1
2016-08-02,0,0,1,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,2,0,0,1,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,1,0,2,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,1
2016-08-03,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,0,1,0,1,1,1,0,1,1,0,0,2,0,0,0,2,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,2,2,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,2,0,1,1,0,1,1,1,2,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,1,0,1
2016-08-04,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,2,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,2,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,3,1,2,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,1,1,1
2016-08-05,0,0,1,1,0,1,0,0,0,1,0,0,2,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,2,2,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,2,1,1,0,2,0,2,2,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1
2016-08-06,0,0,1,1,0,1,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,3,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0
2016-08-07,0,0,1,1,1,1,0,1,0,0,0,0,2,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,5,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,2,1,1,2,2,0,0,2,1,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,1,0,1,4,1,2,0,1,0,2,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,2,1,1,0,1,1,0,1,1,0,1
2016-08-08,0,0,1,0,0,1,1,0,0,0,0,2,2,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,4,2,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,2,1,1,2,2,0,1,2,1,0,0,0,1,0,0,1,1,0,1,0,0,0,2,0,0,1,0,1,3,1,2,0,0,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1
2016-08-09,0,0,1,0,0,1,0,1,0,0,0,2,2,1,1,1,1,1,1,0,0,1,0,0,0,0,2,0,0,4,2,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,2,2,0,1,2,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,2,1,1,0,1,3,0,1,0,1,1,2,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1
2016-08-10,0,1,1,0,0,1,0,1,0,1,0,2,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,3,2,2,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,3,1,0,2,2,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1,1,0,1,2,1,1,0,1,0,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,1,1,1
2016-08-11,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,3,2,2,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,2,1,1,2,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,3,0,2,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,2,0,0,1,0,1,1,1,1
2016-08-12,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,3,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,2,2,0,0,0,0,0,0,1,1,1,0,1,0,1,0,2,0,1,0,0,0,4,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1
2016-08-13,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,5,2,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,3,1,1,1,2,0,0,2,0,0,0,1,0,0,1,0,1,0,1,0,0,2,2,0,1,0,0,1,1,1,2,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1
2016-08-14,0,1,1,0,1,1,1,2,0,0,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,0,2,1,0,4,2,2,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,2,1,1,1,2,0,2,2,1,1,0,1,1,0,2,1,1,0,1,0,1,0,2,0,0,1,0,1,2,1,2,0,1,0,2,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,2,1,1,1,0,0,1,1,1
2016-08-15,0,1,1,0,1,1,0,2,0,0,0,2,2,0,1,0,1,0,1,0,0,1,1,1,2,0,2,1,1,3,1,2,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,2,1,1,2,2,0,3,2,1,0,0,0,0,0,2,1,1,0,1,0,1,1,2,1,0,1,0,1,4,1,2,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1
2016-08-16,0,1,1,1,0,1,1,1,0,4,0,0,2,0,1,0,1,1,1,1,1,1,1,1,1,1,2,1,0,4,2,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,2,2,1,0,2,1,0,1,2,0,0,2,0,1,0,1,0,1,2,2,1,1,1,0,0,4,1,2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1
2016-08-17,0,1,1,1,0,1,1,1,0,0,0,0,2,1,1,0,1,1,1,1,1,1,1,0,0,1,2,1,0,4,2,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,2,1,1,2,2,1,1,2,0,1,1,2,0,0,2,1,1,0,1,0,1,2,2,2,0,1,0,0,4,1,2,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1
2016-08-18,0,0,1,1,0,1,0,2,0,0,0,0,2,0,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,5,2,2,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,3,1,0,2,2,1,2,2,1,1,1,2,0,1,2,1,1,0,1,0,1,2,2,1,0,0,0,0,2,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1
2016-08-19,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,3,2,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,2,2,0,1,2,0,0,0,2,0,0,1,1,1,0,1,0,1,0,2,2,1,1,0,0,2,1,2,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1
2016-08-20,0,1,1,1,0,1,1,2,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,4,2,2,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,2,1,1,2,2,0,0,2,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,2,1,1,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1
2016-08-21,0,1,1,1,1,1,1,1,0,4,0,3,2,1,1,0,1,1,1,1,1,1,0,0,2,1,2,1,0,4,2,2,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,3,1,1,2,2,0,3,2,1,1,1,1,2,0,2,1,1,0,1,0,1,2,1,2,1,1,0,0,3,1,1,1,0,1,2,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,2,1,2,1,1,1,0,0,1,1,1
2016-08-22,0,1,1,1,1,1,1,0,0,3,0,4,2,1,1,0,1,0,1,1,0,1,1,1,2,1,2,1,0,4,2,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,3,1,1,0,2,0,3,0,1,0,1,2,2,0,2,1,1,0,1,0,1,1,2,1,1,1,0,0,3,1,2,1,0,1,2,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,0,1,1,0,1
2016-08-23,0,1,1,1,1,1,1,0,0,2,0,3,2,1,1,1,1,1,1,1,0,1,1,1,0,1,2,1,0,4,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,3,1,1,0,2,1,3,2,1,1,1,1,2,0,2,1,1,0,1,0,1,1,2,1,1,1,0,1,3,1,2,1,0,0,2,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,2,1,1,1,0,1,1,0,1
2016-08-24,0,1,1,1,1,1,1,2,0,3,0,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,4,2,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,3,1,1,0,2,1,3,2,1,0,1,1,2,1,2,0,1,0,1,0,1,1,2,0,0,1,0,1,3,1,2,1,1,0,2,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,2,0,2,1,1,1,0,1,1,1,1
2016-08-25,0,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,0,1,1,1,1,0,1,1,0,1,2,1,0,4,2,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,4,1,1,0,2,1,3,1,0,1,0,2,2,0,2,1,1,0,1,0,1,0,2,2,1,1,0,1,3,1,2,1,1,0,2,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1
2016-08-26,0,0,1,0,0,1,1,1,0,0,0,0,2,1,1,1,0,1,1,1,1,1,1,1,0,0,2,1,0,4,2,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,3,1,1,2,2,0,2,2,0,0,1,2,0,0,2,1,1,0,1,0,1,2,1,2,1,1,0,0,3,1,2,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1
2016-08-27,0,0,1,1,1,1,1,0,0,0,0,0,2,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,2,0,1,2,2,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,1,2,1,2,1,0,0,0,3,1,2,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0
2016-08-28,0,1,1,1,1,1,0,0,0,3,0,1,2,1,1,0,0,1,0,1,1,0,1,1,2,1,2,1,0,4,2,2,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,3,0,0,2,2,1,2,2,1,0,0,2,0,2,1,1,1,0,1,0,1,1,2,2,1,0,0,1,4,1,2,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,2,0,2,1,1,1,1,1,1,1,1
2016-08-29,0,1,1,1,1,1,1,2,1,1,0,4,1,1,1,0,1,1,1,1,1,1,0,1,2,1,2,1,0,1,2,2,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,4,1,0,2,2,1,3,2,1,0,1,2,2,1,2,1,1,1,1,0,1,1,2,1,1,1,0,1,4,1,2,1,1,1,2,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1
2016-08-30,0,1,1,1,0,1,0,2,1,0,0,4,2,1,1,0,0,1,1,1,1,1,1,0,1,1,2,1,0,3,2,2,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,4,1,1,2,1,1,2,2,1,0,0,2,2,2,1,1,1,0,1,1,1,2,2,0,1,1,0,1,4,1,2,1,1,1,2,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1
2016-08-31,0,1,1,0,0,1,1,1,0,2,0,3,2,1,1,0,1,1,1,1,1,1,1,1,2,1,2,1,0,5,2,2,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,3,1,1,2,2,1,2,2,1,0,1,2,1,0,2,1,1,0,1,1,1,2,1,1,1,1,0,1,4,1,2,1,1,1,2,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1
2016-09-01,0,1,1,1,0,1,1,2,0,2,0,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,0,5,2,2,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,3,0,1,1,2,1,2,2,1,0,1,2,0,0,1,1,1,0,1,1,1,2,2,1,1,1,1,1,4,1,2,1,1,1,2,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,2,0,1,1,0,1,1,1,1
2016-09-02,0,1,1,1,1,1,0,2,1,2,0,0,1,1,1,1,0,0,1,0,1,1,1,1,2,1,0,1,0,3,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,2,2,0,3,2,0,1,0,2,0,0,1,1,1,0,1,1,1,0,2,0,1,1,0,1,4,1,2,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,2,0,0,1,1,1,0,1,1,1,1
2016-09-03,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,2,2,2,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,2,2,0,1,2,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,3,0,2,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0
2016-09-04,0,1,1,1,1,1,1,1,1,3,0,3,2,1,1,0,1,1,1,1,1,1,0,1,0,0,2,1,0,3,2,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,2,2,0,1,2,1,1,1,2,0,0,0,1,1,0,1,0,1,0,2,1,1,0,0,1,4,0,2,0,1,0,2,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0
2016-09-05,0,1,1,1,1,1,0,2,0,4,0,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,4,1,1,2,2,1,3,1,1,0,1,1,2,2,2,1,1,0,1,1,0,2,2,2,1,1,0,1,4,1,2,1,1,0,2,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1
2016-09-06,0,1,1,1,1,1,1,2,1,3,0,4,2,1,1,0,0,1,1,0,1,1,1,1,1,1,2,1,0,4,2,2,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,4,1,1,2,2,1,3,1,1,1,1,2,2,2,2,1,1,0,1,1,1,1,2,2,1,1,1,1,4,0,2,1,1,1,2,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,2,1,1,1,1,1,1,1,1
2016-09-07,0,1,1,1,1,1,1,1,2,2,0,4,2,1,1,1,0,1,1,0,1,1,1,1,1,1,2,1,0,5,2,2,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,3,1,1,2,2,1,3,0,1,1,0,2,2,2,2,1,1,0,1,1,1,0,2,2,1,1,0,1,4,0,2,1,1,1,2,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1
2016-09-08,1,1,1,1,1,1,1,1,1,4,1,3,2,1,1,1,0,1,1,0,1,1,1,1,1,1,2,1,0,4,2,2,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,3,1,1,2,2,1,3,2,1,0,0,2,1,2,2,1,1,1,1,1,1,0,2,2,1,1,0,1,3,0,2,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1
2016-09-09,0,1,1,0,1,1,1,1,1,3,0,4,2,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,5,2,2,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,3,1,1,2,2,1,1,2,1,0,0,1,2,0,2,1,1,1,1,0,1,0,1,2,1,1,1,1,4,1,2,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,2,0,1,1,1,0,1,1,1
2016-09-10,0,1,1,0,0,1,1,2,1,3,0,2,2,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,4,2,2,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,3,1,1,2,2,1,1,2,1,0,0,2,2,0,2,1,1,0,1,0,1,1,2,1,1,1,1,0,4,0,2,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,2,1,1,0,1,1,0,1,1,1,1
2016-09-11,1,1,1,1,1,1,1,2,2,4,0,4,2,1,1,1,1,1,1,0,1,0,1,1,0,1,2,1,0,5,2,2,1,1,0,1,1,1,1,0,1,1,1,1,2,1,1,0,1,0,3,1,1,1,2,1,1,2,1,0,1,2,0,2,2,1,1,0,1,0,1,2,2,2,0,1,0,0,3,1,2,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1
2016-09-12,1,1,1,1,1,1,1,2,2,3,0,3,2,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,0,5,2,1,1,1,0,1,1,1,1,0,1,1,1,1,2,1,0,0,1,1,3,1,1,2,2,1,3,2,1,0,1,2,1,2,2,1,1,1,1,0,1,1,2,0,0,1,0,1,4,1,2,1,1,1,2,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,2,1,1,1,0,1,1,1,1
2016-09-13,0,1,1,1,0,1,0,2,2,3,0,4,2,1,1,1,1,1,1,1,0,1,1,1,2,1,2,1,0,5,2,2,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,4,1,1,2,2,1,3,2,0,0,1,2,2,2,2,1,1,1,1,0,1,2,2,2,1,1,0,1,4,1,2,1,1,1,2,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,2,1,0,1,1,0,1,1,1
2016-09-14,0,1,1,0,0,1,1,2,0,4,1,4,2,1,1,0,1,1,1,1,0,1,1,1,2,1,2,1,0,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,4,1,1,2,2,0,3,2,0,0,1,2,2,1,2,1,1,1,1,0,1,2,2,1,1,1,0,1,4,1,2,1,1,0,2,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,2,1,1,1,1,1,1,1,1
2016-09-15,0,1,1,1,0,1,1,2,2,3,0,3,2,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,4,2,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,4,0,1,2,2,1,3,2,0,1,1,2,2,2,1,1,1,1,1,0,1,2,2,1,0,1,0,1,4,1,2,1,1,1,2,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,2,1,2,1,1,1,1,1,1,1,1
2016-09-16,0,1,1,1,0,1,0,2,1,3,0,1,2,1,1,1,0,0,1,1,1,1,0,1,1,1,2,1,0,5,1,2,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,0,4,0,0,2,2,1,3,2,1,1,1,2,1,0,2,1,1,0,1,0,1,2,2,2,1,0,1,1,4,1,2,1,1,1,2,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,2,0,2,0,1,1,1,1,1,1,1
2016-09-17,0,1,1,1,1,1,1,2,0,4,1,4,2,0,1,1,0,1,1,1,1,1,0,1,2,1,1,1,0,4,2,2,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,0,4,1,0,2,2,1,3,2,1,1,1,1,1,0,2,1,1,0,1,0,0,2,2,2,1,0,1,1,4,1,2,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,2,1,1,0,1,1,0,1,1,1,1
2016-09-18,0,1,1,1,1,1,1,2,2,4,1,4,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,4,1,1,2,2,0,3,2,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,1,1,1,0,1,4,1,2,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
2016-09-19,1,1,1,1,0,1,1,2,2,4,1,4,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,0,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,1,2,2,0,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,4,1,2,1,1,1,2,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
2016-09-20,0,1,1,1,0,1,1,2,2,4,1,4,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,0,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,1,2,2,1,2,2,1,1,1,2,2,2,2,1,1,0,1,1,1,2,2,2,1,1,1,1,4,1,2,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1
2016-09-21,0,1,1,1,0,1,1,2,2,4,1,4,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,0,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,1,2,2,1,3,2,1,0,1,2,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,4,1,2,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,0,1,1,1,1
2016-09-22,0,1,1,1,1,1,1,2,2,3,1,4,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,0,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,1,2,2,1,3,0,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,4,1,2,1,1,1,2,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,2,1,1,1,0,1,1,1,1
2016-09-23,0,1,1,1,0,1,1,2,2,4,1,4,2,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,0,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,1,2,2,1,3,2,1,1,1,2,1,2,2,1,1,0,1,0,1,2,1,2,1,1,0,1,4,1,2,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1
2016-09-24,0,1,1,1,0,1,1,2,2,4,0,4,2,1,1,1,1,1,1,1,1,1,1,1,2,0,2,1,0,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,1,2,2,0,3,2,1,1,1,2,2,2,2,1,1,0,1,0,0,2,1,2,1,0,1,1,4,1,2,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,2,1,0,1,0,1,1,1,1
2016-09-25,1,1,1,1,1,1,1,2,2,4,0,4,2,1,1,1,1,1,1,1,1,1,1,1,2,0,2,1,0,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,4,1,1,2,2,1,3,2,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,4,1,2,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1
