"",,,,,Sun,Mon,Tue,Wed,Thu,Fri,Sat
014,Peregrine,2,8480,5/10,FULL,FULL,FULL,FULL,FULL,FULL,FULL
080,Pine Marten,7.8,9560,7/06,2,2,1,1,2,2,2
050,Pine Ridge,1.4,8880,5/21,FULL,FULL,FULL,FULL,FULL,FULL,FULL
077,Porcupine (WF),6.8,9360,6/25,2,FULL,1,2,2,1,1
076,Ptarmigan,6.7,9360,6/14,1,1,1,1,1,1,1
013,Rabbit Ears,1.4,8100,5/13,FULL,FULL,FULL,FULL,FULL,1,FULL
105G,Red Gulch Group,5.8,10320,7/08,NA,NA,NA,NA,NA,NA,NA
092,Renegade,7.3,10500,7/19,1,1,1,1,1,1,1
100,Rockslide,4.5,10960,7/06,1,1,1,1,1,1,1
049,Sandbeach Lake,4.2,10280,6/18,1,4,4,4,4,2,1
049G,Sandbeach Lake Group,4.2,10280,6/18,1,1,1,1,1,1,FULL
003,Silvanmere (WF),5.6,9360,6/04,2,2,2,2,2,2,FULL
053,Siskin,3.7,9600,6/01,FULL,FULL,FULL,FULL,FULL,FULL,FULL
110,Skeleton Gulch,6.2,10600,7/08,1,1,1,1,1,1,1
065,Slickrock,6,10000,6/22,1,1,1,FULL,FULL,1,1
101,Snowbird,4.6,11010,7/06,2,2,2,2,2,2,1
066,Solitaire,6.2,10120,6/28,1,1,1,FULL,FULL,FULL,1
031,Sourdough,2.5,10600,7/07,1,1,1,1,1,1,FULL
084,South Meadows,2,9450,6/13,FULL,1,FULL,FULL,FULL,FULL,FULL
ACC1,Sprague Lake Accessible Site (WF),0.5,8730,6/01,1,1,1,1,1,FULL,FULL
029,Spruce Lake,4.6,9670,6/24,1,1,FULL,1,FULL,FULL,FULL
029A,Spruce Lake Admin,4.6,9670,6/24,FULL,FULL,FULL,FULL,FULL,FULL,FULL
108,Stage Road,4.2,9530,6/16,NA,NA,NA,NA,NA,NA,NA
010,Stormy Peaks,11,10710,7/08,1,1,1,1,1,1,1
010G,Stormy Peaks Group,11,11160,7/13,NA,NA,NA,NA,NA,NA,NA
009,Stormy Peaks South,8.6,10840,7/05,1,FULL,FULL,FULL,FULL,1,FULL
008,Sugarloaf,8.2,10290,6/07,NA,NA,NA,NA,NA,NA,NA
069,Summerland Park,1.7,8620,5/19,FULL,FULL,FULL,FULL,1,1,FULL
069G,Summerland Park Group,1.5,8600,5/19,1,1,1,FULL,1,1,FULL
087,Sunrise,3.5,9600,6/11,1,1,FULL,FULL,1,1,FULL
086,Sunset,3,9550,6/15,1,FULL,1,1,1,1,FULL
051,Tahosa,1.7,9040,5/24,FULL,FULL,FULL,FULL,FULL,FULL,FULL
055,Thunder Lake,6.8,10570,7/05,FULL,1,FULL,FULL,1,1,1
055G,Thunder Lake Group,6.8,10570,7/05,1,1,1,1,1,FULL,FULL
055IS,Thunder Lake Stock,6.8,10570,7/05,1,1,1,1,1,1,1
018,Tileston Meadows,6.3,10800,6/24,NA,NA,NA,NA,NA,NA,NA
098,Timber Creek,3,10400,6/27,1,1,1,1,1,1,1
094G,Timberline Group,7.4,10570,7/09,1,1,1,1,1,1,1
091GS,Tonahutu Group/Stock (WF),6.6,10160,7/05,1,1,1,1,1,1,1
090,Tonahutu Meadows,6.2,10050,7/03,2,2,2,2,2,2,2
070,Twinberry,3,8680,5/25,FULL,FULL,FULL,FULL,1,FULL,FULL
019,Upper Chipmunk,4.2,10640,6/30,2,2,1,2,2,2,2
067,Upper East Inlet,6.6,10200,7/04,1,1,1,1,1,1,1
034,Upper Mill Creek,1.7,9200,5/22,FULL,FULL,FULL,1,1,FULL,FULL
096,Upper Onahu,2.8,9600,6/13,FULL,1,1,FULL,1,1,FULL
057,Upper Ouzel Creek,5.6,10600,7/06,1,1,1,1,FULL,FULL,1
037,Upper Wind River,1.6,8940,5/14,FULL,FULL,1,FULL,FULL,FULL,FULL
025IS,Ute Meadow Llama,2.7,9450,6/10,1,1,1,1,1,1,1
102,Valley View,3.2,10260,6/22,1,1,1,1,1,1,FULL
035,Wind River Bluff,1,8800,5/15,FULL,FULL,FULL,FULL,1,FULL,FULL
020,Ypsilon Creek,2.6,9560,5/22,NA,NA,NA,NA,NA,NA,NA
"",,,,,Sun,Mon,Tue,Wed,Thu,Fri,Sat
"",,,,,6/12/2016,6/13/2016,6/14/2016,6/15/2016,6/16/2016,6/17/2016,6/18/2016
040,Andrews Creek (Waste Bag),3.6,10560,7/02,FULL,FULL,FULL,FULL,FULL,FULL,FULL
026,Arch Rock,1.6,8240,5/13,1,FULL,FULL,FULL,FULL,FULL,FULL
052IS,Aspen Knoll Llama,2.3,9400,5/26,1,1,1,1,1,1,1
005G,Aspen Meadow Group (WF),5.9,9520,5/31,1,1,1,1,FULL,1,1
043G,Battle Mountain Group,2.8,11000,6/18,1,1,FULL,FULL,FULL,FULL,1
047,Beaver Mill,3,9640,6/02,1,1,1,1,1,1,FULL
085G,Big Meadows Group,1.9,9400,6/13,1,1,FULL,FULL,FULL,FULL,1
072,Big Pool,5,9160,6/10,FULL,2,2,2,1,FULL,FULL
016GS,Bighorn Mt Grp/Stk,6.8,10320,6/25,NA,NA,NA,NA,NA,NA,NA
038,Boulder Brook,3.9,10200,6/17,1,FULL,FULL,1,FULL,FULL,FULL
038G,Boulder Brook Group,3.9,10200,6/17,1,1,FULL,FULL,FULL,FULL,1
044,Boulderfield,6,12760,6/19,NA,NA,NA,NA,NA,NA,NA
044-1,Boulderfield 1,6,12760,6/19,4,4,4,4,4,4,4
044-2,Boulderfield 2,6,12760,6/19,1,FULL,FULL,FULL,1,1,1
044-3,Boulderfield 3,6,12760,6/19,4,4,4,4,4,4,4
001,Boundary Creek (WF),4.6,9120,6/02,2,1,FULL,2,2,2,2
111,Box Canyon,5.5,10480,7/08,1,1,1,1,1,1,1
113,Cache,5.6,10150,7/011,NA,NA,NA,NA,NA,NA,NA
046,Campers Creek,2.3,9600,6/05,1,1,1,1,1,1,FULL
071,Cascade Falls,3.5,8840,5/25,NA,NA,NA,NA,NA,NA,NA
063,Cats Lair,4,9200,5/31,FULL,FULL,1,FULL,1,FULL,FULL
114G,Chapin Creek Group,6.1,10240,7/08,1,1,1,1,1,1,1
032,Cub Creek,2.2,8600,5/13,FULL,FULL,FULL,FULL,1,FULL,FULL
021,Cutbank,2.4,9620,5/21,FULL,1,1,1,FULL,FULL,FULL
116,Desolation,2.3,9840,6/30,1,1,1,1,1,1,1
109,Ditch Camp,4.6,10160,6/26,1,1,1,1,1,1,1
109GS,Ditch Camp Group/Stock,4.6,10160,6/26,1,1,1,1,1,1,1
107,Dutch Town,6.2,10760,7/14,1,1,1,1,1,1,1
061,East Meadow,1.5,8550,5/22,FULL,FULL,1,FULL,1,FULL,FULL
028,Fern Lake,3.8,9530,6/10,FULL,FULL,FULL,FULL,FULL,FULL,FULL
028G,Fern Lake Group,3.8,9530,6/10,1,1,1,FULL,FULL,FULL,FULL
